English,Turkish
okay ok),"['peki', 'tamam']"
old,"['eski', 'yaşlı']"
old-fashioned,['eski moda']
omelette,['omlet']
omit,"['atlamak', 'hariç bırakmak']"
on,['üzerinde']
once,"['bir kez', 'bir an önce']"
one,['bir']
onion,['soğan']
only,"['sadece', 'yalnızca']"
open,"['açık', 'açmak']"
operate,['çalışmak']
operation,"['operasyon', 'ameliyat']"
operator,['operatör']
opinion,['düşünce']
opportunity,['fırsat']
opposite,"['zıt', 'ters']"
optimist,['iyimser']
option,"['seçme', 'seçenek', 'opsiyon']"
or,['veya']
oral,['sözlü']
orange,"['portakal', 'turuncu']"
orbit,['yörünge']
orchard,['bostan']
order,"['emir', 'sipariş', 'düzen']"
ordinary,"['sıradan', 'normal']"
organ,"['organ', 'organizasyon', 'kuruluş']"
organize,['organize etmek']
origin,"['köken', 'orijin']"
original,"['orjinal', 'ilk', 'yeni']"
other,['diğer']
otherwise,"['başka türlü', 'yoksa', 'aksi taktirde']"
our,['bizim']
out,['dışarı']
outline,"['ana hat', 'özetlemek']"
out of date,"['modası geçmiş', 'eski']"
output,['çıktı']
outside,['dışarı']
oval,['oval']
oven,['fırın']
over,"['üstünde', 'bitmek']"
overcome,['üstesinden gelmek']
overdo,"['fazla pişirmek', 'fazla yapmak']"
overdue,['vadesi geçmiş']
overtake,"['geçmek', 'sollamak']"
overtime,['fazla mesai']
overwork,"['fazla çalışmak', 'aşırı çalışmak']"
owe,['borçlu olmak']
owl,['baykuş']
own,['sahip olmak']
owner,['sahip']
ox,['boğa']
oxygen,['oksijen']
oyster,['istiridye']
pack,['paketlemek']
packed,"['kalabalık', 'bir sürü insan']"
packet,['paket']
page,['sayfa']
pain,"['acı', 'ağrı']"
painful,['ağrılı']
paint,"['boyamak', 'boya']"
painter,"['ressam', 'boyacı']"
pair,['çift']
palace,['saray']
pale,"['soluk', 'solgun renk']"
palm,"['avuç', 'palmiye ağacı']"
pan,['tava']
panel,['panel']
panic,['panik']
pants,"['don', 'pantolon']"
paper,"['kağıt', 'evrak']"
parachute,['paraşüt']
parade,['resmi geçit']
paradise,['cennet']
paragraph,['paragraf']
parcel,['parça']
pardon,['pardon']
parent,['ana baba']
park,"['park', 'park etmek']"
parliament,['parlamento']
parrot,['papağan']
part,"['kısım', 'bölüm', 'ayırmak']"
participate,"['ekipçe çalışma', 'oynama', 'katılma']"
particular,"['yalnız', 'özel', 'titiz']"
partner,"['ortak', 'partner']"
part-time,['yarım gün']
party,['parti']
pass,"['geçmek', 'geçirmek']"
passage,['pasaj']
passenger,['yolcu']
passive,"['pasif', 'eylemsiz']"
passport,['pasaport']
password,['parola']
past,['geçmiş']
pasta,['makarna']
paste,"['beyaz tutkal', 'macun', 'hamur']"
pastime,['hoş iyi zaman']
path,"['patika', 'küçük yol']"
patience,['sabır']
patient,"['sabırlı', 'hasta']"
patrol,['devriye']
patron,"['destekleyici kişi', 'devamlı müşteri']"
pause,"['mola', 'ara']"
paw,['hayvan pençesi']
pay,['ödemek']
payment,['ödeme']
pea,['bezelye']
peace,['barış']
peach,['şeftali']
peak,"['zirve', 'tepe']"
peanut,['yer fıstığı']
pear,['armut']
pearl,['inci']
peasant,"['çiftçi', 'köylü kesim']"
peculiar,['garip']
pedal,['pedal']
pedestrian,['yaya giden']
peel,['kabuğunu soymak']
pen,"['ağıl', 'tükenmez kalem']"
penalty,['ceza']
pencil,['kurşun kalem']
penknife,['çakı']
pension,['emekli maaşı']
people,['halk']
pepper,['biber']
per,['her']
perfect,"['kusursuz', 'yetkin']"
perform,"['çalışmak', 'uygulamak']"
performance,['performans']
perfume,['parfüm']
perhaps,['belki']
peril,['büyük tehlike']
period,"['dönem', 'süre', 'periyot']"
permanent,"['devamlı', 'sürekli']"
permission,['izin']
permit,"['izin vermek', 'izin kağıdı']"
persist,['devam etmek']
person,['kişi']
personality,['kişilik']
persuade,['ikna etmek']
pessimist,['kötümser']
petrol,['petrol']
petrol station,['benzinci']
philosophy,['fizolofi']
phone,['telefon']
photo,['fotoğraf']
physical,['fiziksel']
piano,['piyano']
pick,"['toplamak', 'seçmek']"
picket,"['grev gözcüsü', 'fabrika önünde bekleme']"
pickle,['turşu']
pickpocket,['yankesici']
picnic,['piknik']
picture,['resim']
pie,"['pasta', 'börek']"
piece,['parça']
pig,['domuz']
pigeon,['güvercin']
pile,['üst üste koymak']
pill,['hap']
pillow,['yastık']
pillowcase,['yastık kılıfı']
pilot,['pilot']
pin,['toplu iğne']
pincers,"['kerpeten', 'yengecin kıskacı']"
pinch,"['çimdiklemek', 'sıkıştırmak kapıya']"
pine,['çam']
pineapple,['ananas']
pink,['pembe']
pioneer,['öncü']
pipe,"['boru', 'pipo', 'flüt']"
pistol,['tabanca']
pity,['yazık']
place,"['yer', 'yerleştirmek']"
plain,"['açık', 'ortada', 'düz']"
plan,"['plan', 'planlamak']"
plane,['uçak']
plant,"['bitki', 'dikmek', 'tesis']"
plantation,['ekili yer']
plastic,['plastik']
plate,['tabak']
platform,"['platform', 'kürsü', 'peron']"
play,"['oynamak', 'müzik aleti çalmak']"
player,"['oyuncu', 'çalan']"
playground,['oyun sahası']
pleasant,"['keyifli', 'zevkli']"
please,"['lütfen', 'umutlandırmak']"
pleasure,['zevk']
plenty,['çok sayıda']
plough,['toprağı sürmek']
plug,"['fiş', 'banyo tıkacı']"
plum,"['erik', 'bonbon sekeri']"
plumber,['musluk tamircisi']
plus,['artı']
pocket,['cep']
poem,['şiir']
poet,"['şair', 'ozan']"
poetry,"['şiirler', 'şairlik', 'şiirle ilgili']"
point,"['nokta', 'uç']"
poison,['zehir']
pole,"['kutup', 'direk', 'kazık']"
police,['polis']
policy,"['poliçe', 'yönetim ilkesi', 'politika']"
polish,['parlatmak']
polite,['kibar']
political,['politik']
politician,"['politikacı', 'politikayla uğraşan']"
politics,['politik']
pool,['havuz']
poor,"['yoksul', 'zavallı']"
population,['nüfus']
porcelain,['porselen']
pork,['domuz eti']
port,['liman']
porter,"['hammal', 'kapıcı']"
position,"['durum', 'konum']"
positive,"['emin', 'kesin', 'olumlu']"
possess,['sahip olmak']
possession,['sahiplik']
possibility,['olasılık']
possible,"['olası', 'mümkün']"
post,"['posta', 'işaret', 'devriye gezmek']"
postage,['posta ücreti']
postpone,['ertelemek']
pot,['tencere']
potato,['patates']
pour,"['dökmek', 'akıtmak']"
poverty,['fakirlik']
powder,"['toz', 'pudra']"
power,['güç']
power of attorney,['vekaletname']
powerful,['güçlü']
power-house,"['elektrik santralı', 'olağanüstü enerjiye sahip']"
practical,['pratik']
practice,['alıştırma']
practise,['alıştırma yapmak']
praise,['övmek']
pray,['dua etmek']
preach,['vaaz vermek']
precious,"['kıymetli', 'çok sevilen']"
precisely,"['kesinlikle', 'tam manasıyla']"
predict,['tahmin etmek']
prefer,"['yeğlemek', 'tercih etmek']"
pregnant,['hamile']
prejudice,['önyargı']
preparation,['hazırlık']
prepare,['hazırlamak']
prescription,['reçete']
presence,"['varlık', 'bulunma']"
present,"['sunmak', 'mevcut', 'hediye']"
preserve,"['korumak', 'konserve yapmak']"
president,['başkan']
press,"['baskı', 'ütüleme', 'basın']"
pressure,"['basınç', 'baskı']"
pretend,"['gibi gözükmek', 'taklit yapmak']"
pretty,"['sevimli', 'oldukça']"
prevent,['korumak']
previous,['önceki']
price,['fiyat']
pride,"['onur', 'gurur']"
priest,['rahip']
primarily,['öncelikle']
primary,"['birincil', 'eskiden', 'temel']"
primitive,"['ilkel', 'basit', 'modası geçmiş']"
prince,['prens']
principal,"['en önemli', 'prensip', 'ana para borçta']"
print,"['yazdırmak', 'iz']"
priority,['öncelik']
prison,['hapis']
prisoner,"['mahkum', 'esir']"
private,['özel']
privilege,['imtiyaz']
prize,['ödül']
probable,['olası']
problem,"['sorun', 'problem']"
process,['işlem']
produce,['üretmek']
product,['ürün']
production,['üretim']
profession,['meslek']
profit,['kar']
programme,['program']
progress,['gelişme']
prohibit,['yasaklamak']
promise,['söz vermek']
promote,"['ilerleme', 'terfi etme', 'ürün tanıtımı']"
promotion,['terfi']
pronounce,['telaffuz etmek']
proof,['kanıt']
propeller,"['itki', 'vapur veya uçak pervanesi']"
proper,"['uygun', 'doğru']"
property,"['mal', 'mülk']"
proportion,['orantı']
proposal,"['plan', 'öneri']"
propose,"['planını açıklamak', 'evlilik teklif etmek']"
prosecute,"['takip etmek', 'kavuşturmak', 'dava açmak']"
prostitution,['fuhuş']
protect,['korumak']
protest,['protesto']
proud,['gururlu']
prove,['kanıtlamak']
proverb,['ata sözü']
provide,"['sağlamak', 'tedarik etmek']"
provocation,['kışkırtma']
provoke,['kışkırtmak']
pub,['birahane']
public,"['halk', 'kamuya açık']"
publicity,"['ilan', 'reklam', 'yayınlama']"
publish,['basım bir yayını']
pull,['çekmek']
pull up,['aracı durdurmak']
pullover,"['kazak', 'arabayı durdurmak', 'kenara çekmek']"
pulse,"['nabız', 'vuruş']"
pump,['pompa']
pumpkin,['kabak']
punch,"['delmek', 'yumruklamak']"
punctual,['tam zamanında']
punish,['cezalandırmak']
pupil,"['öğrenci', 'gözbebeği']"
puppet,['kukla']
puppy,['genç köpek']
purchase,['satın almak']
pure,"['saf', 'temiz']"
purple,['mor']
purpose,['amaç']
purse,['küçük el çantası']
push,['itmek']
put,['koymak']
puzzle,"['bulmaca', 'problem']"
pyjamas,['pijama']
pyramid,['piramit']
qualified,"['ehliyetli', 'kalifiye']"
quality,"['nitelik', 'kalite']"
quantity,['miktar']
quarrel,"['tartışmak', 'atışmak']"
quarter,['çeyrek']
queen,['kraliçe']
question,"['soru', 'sormak']"
queue,"['sıra', 'kuyruk']"
quick,['çabuk']
quiet,"['sessiz', 'sakin', 'huzurlu']"
quite,['yaklaşık olarak']
quiz,['küçük test']
quota,"['kota', 'kontenjan']"
quote,"['aktarma', 'söyleme']"
rabbit,['tavşan']
race,['ırk']
racket,['raket']
radar,['radar']
radiator,['radyatör']
radio,['radyo']
rail,['ray']
railing,['bahce çiti']
railway,['tren yolu']
rain,['yağmur']
raincoat,['yağmurluk']
raise,"['yükseltmek', 'zam yapmak', 'yetiştirmek']"
ram,"['koç', 'vurmak', 'toslamak']"
range,"['aralık', 'alan']"
rank,"['sıra', 'rütbe', 'sosyal sınıf']"
rapid,"['çabuk', 'hızlı']"
rare,['nadir']
rash,"['hızlı', 'acele', 'çil']"
rat,['fare']
rate,"['hız', 'oran']"
rather,"['epey', 'çok değil']"
raw,"['ham', 'çiğ']"
razor,"['ustura', 'traş makinesi']"
reach,['erişmek']
read,['okumak']
ready,['hazır']
realize,"['fark etmek', 'idrak etmek']"
really,['gerçekten']
rear,"['arka', 'yetiştirmek']"
reason,"['neden', 'akıl']"
reasonable,['makul']
recall,['anımsamak']
receipt,['makbuz']
receive,"['almak', 'karşılamak']"
recent,['yakın zamanda']
reception,"['resmi davet', 'resepsiyon']"
recession,"['duraklama', 'gerileme', 'ekonomide durgunluk']"
recipe,['yemek tarifi']
recognize,['tanımak']
recollect,['hatırlamak']
recommend,['tavsiye etmek']
reconcile,"['uzlaşma', 'anlaşma yapmak']"
reconciliation,['uzlaşma']
record,"['kayıt', 'plak', 'rekor']"
recover,"['iyileşmek', 'kaybedilen bir şeyi bulmak']"
red,"['kırmızı', 'kızıl']"
reduce,['azaltmak']
referee,['hakem']
referendum,"['referandum', 'halk oylaması']"
refill,['doldurmak']
reflect,['yansıtmak']
refreshments,"['içecek', 'serinletme', 'ikramlar']"
refrigerator,['buzdolabı']
refuge,"['refüj', 'güvenli yer']"
refugee,"['tehlikeden kaçan', 'kazazede']"
refuse,['reddetmek']
regard,"['bakmak', 'saygı', 'inanmak']"
region,['bölge']
register,"['kütük', 'sicil', 'kayıt']"
regret,"['üzgün olmak', 'pişman olmak']"
regular,"['düzenli', 'olağan']"
regulation,"['yönetmelik', 'yasa']"
reject,['kabul etmemek']
relate,"['anlatmak', 'nakletmek']"
relation,"['ilişki', 'akrabalık']"
relationship,"['ilişki', 'iletişim']"
relative,"['akraba', 'göreceli']"
relax,"['rahatlamak', 'gevşemek']"
release,"['serbest bırakmak', 'gevşetmek']"
relevant,"['bağıntılı', 'konuyla ilişkili']"
reliable,['güvenilir']
relief,['rahatlama']
relieve,['uzaklaştırmak']
religion,['din']
reluctant,['isteksiz']
remain,"['geriye kalmak', 'yerinde durmak']"
remark,"['belirtmek', 'açıklama']"
remarkable,['dikkate değer']
remedy,['çare']
remember,"['unutmamak', 'anımsamak']"
remind,['anımsatmak']
remit,"['affetmek', 'bağışlamak']"
remittance,['havele para']
remote,['uzak']
remove,['uzaklaştırmak']
rent,['kiralamak']
repair,['onarmak']
repay,['geri ödemek']
repeat,['tekrarlamak']
replace,['yeniden yerleştirmek']
replacement,['yerleştirme']
reply,['yanıtlamak']
report,"['rapor', 'rapor etmek']"
represent,['temsil etmek']
representativ e,['temsilci']
republic,['cumhuriyet']
reputation,"['itibar', 'ün']"
request,"['rica etmek', 'rica']"
require,['gereksinmek']
rescue,['ku rtarmak']
research,['araştırma']
resent,"['hoşlanmamak', 'kızmak']"
reserve,"['rezerv', 'rezervasyon yaptırmak']"
reside,"['oturmak', 'ikamet etmek']"
resident,"['bölgede yaşayan', 'oturan']"
resign,['istifa etmek']
resist,['karşı koymak']
respect,['saygı duymak']
respectable,['saygıdeğer']
respond,['cevap vermek']
responsible,['sorumlu']
rest,['dinlenmek']
restaurant,"['restoran', 'lokanta']"
restore,"['geri verme', 'yeniden kullanıma açma']"
restrict,['sınırlamak']
result,['sonuç']
resume,['yeniden başlamak']
retail,"['parekende', 'parekende satış']"
retaliation,"['intikam', 'tepki', 'misilleme']"
retire,['emekli olmak']
return,['geri dönmek']
revenge,"['öç almak', 'intikam']"
revenue,['gelir']
reverse,"['ters', 'arkası', 'geri']"
revise,['revize etmek']
revolution,['devrim']
reward,['ödül']
rib,['kaburga']
ribbon,"['kurdela', 'şerit']"
rice,['pirinç']
rich,['zengin']
rid,"['atmak', 'fırlatmak']"
ride,"['ata', 'bisiklete binmek']"
ridiculous,"['gülünç', 'saçma']"
rifle,['tüfek']
right,"['hak', 'haklı', 'sağ taraf']"
ring,"['yüzük', 'halka']"
ripe,"['olgun', 'ham değil']"
rise,['yükselmek']
risk,['risk']
risky,['riskli']
river,['nehir']
road,['yol']
roar,['kükreme']
roast,"['rosto', 'fırında pişirmek']"
rob,['soygun']
rock,"['kaya', 'sallanmak']"
rocket,['roket']
role,['rol']
roll,['yuvarlanmak']
roof,['çatı']
room,['oda']
root,['kök']
rope,"['halat', 'ip']"
rose,"['gül', 'pembe']"
rough,['kaba']
round,['yuvarlak']
roundabout,"['döner kavşak', 'dolaylı', 'yaklaşık olarak']"
route,['rota']
row,"['sıra', 'gürültü']"
royal,['kraliyete ait']
rub,"['sürmek', 'sürtmek', 'ovmak']"
rubber,"['lastik', 'kauçuk', 'silgi']"
rubbish,"['çöp', 'saçma']"
rude,['kaba']
rug,"['küçük halı', 'kilim']"
ruin,"['harabe', 'yıkım', 'mahvetme']"
rule,"['yönetmek', 'kural']"
ruler,"['kural koyucu', 'yönetici', 'cetvel']"
rumble,['gürlemek']
run,"['koşmak', 'fabrika çalıştırmak', 'şirket']"
runaway,"['kaçak', 'kontrol dışı']"
rush,['çabuk davranmak']
rust,['pas']
sabotage,['sabotaj']
sack,['çuval']
sacrifice,"['kurban', 'fedakarlık']"
sad,"['üzgün', 'mutsuz']"
saddle,['eğer']
safari,"['safari', 'hayvan avlama yolculuğu']"
safe,"['güvenli', 'emin', 'kasa']"
safety-belt,['emniyet kemeri']
safety-pin,['çengelli iğne']
sail,['deniz yolculuğu']
sailor,['denizci']
sake,"['hatır', 'uğruna']"
salad,['salata']
salary,['maaş']
sale,['satış']
salmon,"['som baliği', 'sarımsı pembe renk']"
saloon,"['salon', 'gemi salonu']"
salt,['tuz']
salute,['selam duruşu']
same,"['aynı', 'farksız']"
sample,"['örnek', 'numune']"
sand,['kum']
sandal,['sandalet']
sandpaper,"['zımpara kağidi', 'zımparalamak']"
sandwich,['sandviç']
sardine,['sardalya']
satellite,['uydu']
satin,"['saten', 'atlas']"
satisfy,['tatmin etmek']
saturday,['cumartesi']
sauce,"['salça', 'yenebilir sos']"
saucepan,['tava']
saucer,['bardak altlığı']
sausage,['sosis']
savage,"['vahşi', 'yabani', 'yirtici']"
save,"['korumak', 'tasarruf etmek']"
savour,"['tat', 'lezzet', 'çeşni']"
saw,"['testere', 'görmek']"
saxophone,['saksafon']
say,"['demek', 'söylemek']"
scale,"['ölçek', 'tart']"
scandal,['skandal']
scarce,['kıt']
scare,['korkutmak']
scarf,['atki']
scene,"['olayın geçtiği yer', 'manzara', 'film sahnesi']"
scheme,"['plan', 'proje']"
scholarship,['burs']
school,['okul']
science,['bilim']
scissors,['makas']
scone,['üzümlü ekmek ve tereyağı']
score,['skor']
scorpion,['akrep']
scramble,"['çırpmak', 'hızlı hareket', 'tırmanış']"
scrape,"['kazımak', 'sıyrık', 'artık']"
scratch,"['tırmalamak', 'kaşımak']"
scream,['çığlık']
screen,"['ekran', 'perde', 'perdelemek']"
screw,"['vidalamak', 'vida', 'kazıklamak']"
scruff,"['ense', 'kirli', 'pasaklı insan']"
sea,['deniz']
seal,"['mühür', 'fok balığı', 'damga']"
search,['araştırmak']
seashore,['deniz kıyısı']
seaside,['deniz kenarı']
season,"['mevsim', 'sezon']"
seat,['oturulacak yer']
seat-belt,['emniyet kemeri']
second,"['saniye', 'ikinci']"
second-rate,"['ikinci derece', 'kalite']"
secret,"['giz', 'sır']"
secretary,['sekreter']
section,"['kısım', 'bölüm']"
secure,"['emniyetli', 'sağlam']"
see,"['görmek', 'fark etmek', 'anlamak']"
see over,"['imtihan etmek', 'kontrol etmek']"
seed,"['tohum', 'çekirdek']"
seek,"['aramak', 'soruşturmak']"
seem,['görünmek']
segment,"['bölüm', 'parça', 'dilimlemek']"
seize,"['kapmak', 'hızla bir şeyi ele geçirmek']"
seldom,"['ara sıra', 'sık değil']"
select,['seçmek']
selection,['seçim']
selfish,['bencil']
sell,['satmak']
semi,['yarı']
senate,['senato']
send,['göndermek']
senior,['kıdemce büyük']
sense,['duyu']
senseless,"['aptalca', 'bilinçsiz']"
sensible,['akıllı']
sensitive,"['duyarlı', 'alıngan']"
sentence,"['cümle', 'hüküm giyme', 'mahkum olma']"
separate,"['ayrı', 'ayırmak']"
september,['eylül']
sergeant,['çavuş']
serial,"['seri', 'radyo', 'hikaye ']"
serious,['ciddi']
sermon,['vaaz']
servant,['hizmetçi']
serve,"['hizmet etmek', 'servis yapmak']"
service,['servis']
serviette,['peçete']
set,"['ayarlamak', 'yerleştirmek', 'hazırlamak']"
set off,"['seyahate başlamak', 'yola çıkmak']"
set out,"['seyahate başlamak', 'yola çıkmak']"
set on,['atak']
settle,"['durup dinlenmek', 'alışmak', 'yerleşmek']"
settlement,['anlaşma']
several,['bir kaç']
severe,"['sert', 'ciddi']"
sew,['dikiş dikmek']
sex,"['cinsiyet', 'cins']"
shade,"['gölge', 'gölgelemek']"
shadow,"['haranlık', 'gölge']"
shake,['sarsmak']
shallow,['sığ']
shame,['utanç']
shampoo,"['şampuan', 'baş yıkamak']"
shape,"['şekil', 'form']"
share,"['paylaştırmak', 'paylaşmak', 'pay']"
shark,['köpek balığı']
sharp,"['keskin', 'tam tamına', 'zeki']"
sharp shooter,['keskin nişancı']
shave,['tıraş']
sheep,"['koyun', 'koyunlar']"
sheet,"['çarşaf', 'ince tabaka']"
shelf,['raf']
shell,"['kabuk', 'bombalamak']"
shelter,['sığınmak']
shield,"['kalkan', 'kılıf']"
shift,"['değiştirme', 'vardiye']"
shine,"['parlamak', 'parlatmak']"
ship,"['gemi', 'gemiyle yollamak']"
shirt,['gömlek']
shock,"['şok', 'şok etmek']"
shoe,['ayakkabı']
shoelace,['ayakkabı bağı']
shoot,"['çekim', 'atış', 'tomurcuk']"
shoot down,"['imha etmek', 'hayır cevabı', 'olumsuz']"
shop,"['dükkan', 'alışveriş yapmak']"
shopping,['alışveriş']
shore,['kıyı']
short,"['kısa', 'aniden']"
short cut,['kestirme']
shortage,"['yokluk', 'kıtlık']"
shortly,"['az sonra', 'kısaca']"
shot,['atış']
shoulder,['omuz']
shout,['bağırmak']
show,"['göstermek', 'gösteri']"
shower,"['duş', 'duş almak', 'sağanak yağmur']"
shrink,"['çekmek', 'küçülmek']"
shut,"['kapatmak kapı', 'pencere']"
shut up,"['sus', 'kes sesini']"
shy,['utangaç']
sick,['hasta']
side,"['kenar', 'yan', 'taraflı']"
sıdeeffect,['yan etki']
sigh,['derin nefes almak']
sight,['görüş']
sign,"['işaret', 'imzalamak']"
signal,['sinyal']
signature,['imza']
significant,"['manalı', 'önemli']"
signpost,['işaret direği']
silence,"['sessizlik', 'susturmak']"
silent,"['sessiz', 'sakin']"
silk,['ipek']
silly,"['budala', 'aptal']"
silo,"['silo', 'depo']"
simplify,['basitleştirmek']
sin,['günah']
since,['şimdiye kadar']
sincere,"['içten', 'samimi', 'sahte olmayan']"
sing,['şarkı söylemek']
single,"['tek', 'bekar', 'tek kişilik']"
singular,"['acayip', 'tek', 'eşsiz']"
sink,"['batmak', 'evye']"
sir,['efendi']
siren,['siren']
sister,"['kız kardeş', 'hemşire', 'rahibe']"
sit,['oturmak']
situation,['durum']
size,['büyüklük']
skate,"['buz pateni', 'paten ayakkabısı']"
