ingilizce,okunuş
political,pılitikl
politician,polıtişın
politics,palitiks
pool,puul
poor,puur
population,papüleyşn
porcelain,poselın
pork,pork
port,port
porter,pootır
position,pızişn
positive,pazitiv
possess,pızes
possession,pızeşn
possibility,pasıbilıti
possible,pasıbl
post,poust
postage,postıp
postpone,pospon
pot,pot
potato,poteyto
pour,poor
poverty,povitı
powder,paudır
power,pauır
power of attorney,pavır ıv atörn
powerful,pauıfl
power-house,pauvırhaus
practical,prektikl
practice,prektis
practise,prektis
praise,preyz
pray,prey
preach,priiç
precious,presis
precisely,prısayzlı
predict,prıdikt
prefer,prıför
pregnant,pregnınt
prejudice,precıdis
preparation,prepıreyşn
prepare,prıpeır
prescription,priskrıpşın
presence,prezns
present,preznt
preserve,prizörv
president,prezidınt
press,pres
pressure,preşır
pretend,pritend
pretty,priti
prevent,privent
previous,priiviıs
price,prays
pride,prayd
priest,priist
primarily,pramırili
primary,praymeri
primitive,primitiv
prince,prins
principal,prinsipl
print,print
priority,payoriti
prison,prizn
prisoner,priznır
private,prayvıt
privilege,privılıp
prize,prayz
probable,prabıbl
problem,prablım
process,proses
produce,prodyus
product,prıdak
production,prodakşn
profession,profeşn
profit,profit
programme,prougrem
progress,prougres
prohibit,prıhibit
promise,promis
promote,prımot
promotion,primoşın
pronounce,pronauns
proof,pruuf
propeller,prıpelır
proper,prapır
property,prapıti
proportion,propoşın
proposal,propouzl
propose,propouz
prosecute,prasıkyut
prostitution,prostıtuşın
protect,prıtekt
protest,protest
proud,praud
prove,pruuv
proverb,provörb
provide,provayd
provocation,prıvıkeyşın
provoke,prıvok
pub,pab
public,pablik
publicity,pablısiti
publish,pabliş
pull,pul
pull up,pull ap
pullover,pulouvır
pulse,pals
pump,pamp
pumpkin,pampkin
punch,panç
punctual,pankpuıl
punish,paniş
pupil,püupl
puppet,papıt
puppy,papi
purchase,pörçıs
pure,püur
purple,pörpıl
purpose,pöpıs
purse,pöös
push,puş
put,put
puzzle,pazl
pyjamas,pıcaamız
pyramid,piramit
qualified,kvolifayd
quality,kualıti
quantity,kuantıti
quarrel,kuarıl
quarter,kootır
queen,kuiin
question,kuesçın
queue,küu
quick,kuik
quiet,kuayıt
quite,kuayt
quiz,kuiz
quota,kvotı
quote,kvot
rabbit,rebit
race,reys
racket,rekit
radar,reydır
radiator,reydieytır
radio,reydio
rail,reyl
railing,reiling
railway,reylvey
rain,reyn
raincoat,reynkout
raise,reyz
ram,rem
range,reync
rank,renk
rapid,repid
rare,reyr
rash,raş
rat,ret
rate,reyt
rather,radır
raw,rov
razor,reyzır
reach,riiç
read,riid
ready,redi
realize,riılayz
really,riıli
rear,rıir
reason,riizn
reasonable,riiznıbl
recall,rikol
receipt,rısiit
receive,rısiiv
recent,riisnt
reception,risepşn
recession,riseşin
recipe,resipi
recognize,rekıgnayz
recollect,rekılekt
recommend,rekımend
reconcile,rekınsaıl
reconciliation,rekınsilieyşin
record,rekord
recover,rikavır
red,red
reduce,rıdyus
referee,refiri
referendum,refırendum
refill,rifıl
reflect,riflekt
refreshments,rıfreşmınts
refrigerator,refrıpıretır
refuge,refüuc
refugee,refyucii
refuse,refyuz
regard,rigard
region,ricın
register,recıstır
regret,rigret
regular,regulır
regulation,reguleyşın
reject,ricekt
relate,releyt
relation,rıleyşn
relationship,rıleyşnşip
relative,relıtiv
relax,rileks
release,rilis
relevant,relıvınt
reliable,rilaybıl
relief,rıliif
relieve,rıliiv
religion,rılicın
reluctant,rilanktınt
remain,rımeyn
remark,rımark
remarkable,rımarkıbl
remedy,remidi
remember,rimembır
remind,rimaynd
remit,rimit
remittance,rimitıns
remote,rimuut
remove,rimuuv
rent,rent
repair,ripeır
repay,rıpey
repeat,rıpiit
replace,rıpleys
replacement,rıpleysmınt
reply,rıplay
report,riport
represent,reprızent
representativ e,reprızentıtiv
republic,rıpablik
reputation,reputeyşın
request,rikuest
require,rikuayır
rescue,reskuu
research,risörp
resent,rizent
reserve,rizörv
reside,rizaıd
resident,rezıdıns
resign,rizayn
resist,rızist
respect,rıspekt
respectable,rıspektıbl
respond,rispond
responsible,rıspansıbl
rest,rest
restaurant,restrant
restore,ristor
restrict,rıstrikt
result,rizalt
resume,rızuum
retail,riteil
retaliation,ritalieyşın
retire,ritayır
return,ritörn
revenge,rivenc
revenue,revenüü
reverse,rivörs
revise,rıvayz
revolution,revolışın
reward,rivord
rib,rib
ribbon,ribın
rice,rays
rich,riç
rid,rid
ride,raid
ridiculous,ridikulis
rifle,rayfıl
right,rayt
ring,ring
ripe,rayp
rise,rayz
risk,risk
risky,riski
river,rivır
road,roud
roar,roor
roast,roust
rob,rob
rock,rak
rocket,rokıt
role,roul
roll,rol
roof,ruuf
room,ruum
root,ruut
rope,roup
rose,rouz
rough,raf
round,raund
roundabout,raundıbaut
route,ruut
row,rou
royal,royıl
rub,rab
rubber,rabır
rubbish,rabiş
rude,ruud
rug,rag
ruin,ruin
rule,ruul
ruler,ruulır
rumble,rambl
run,ran
runaway,ranivey
rush,raş
rust,rast
sabotage,sebitaj
sack,sek
sacrifice,sekrıfays
sad,sed
saddle,sedl
safari,sifaari
safe,seyf
safety-belt,seyftibelt
safety-pin,seyftipin
sail,seyl
sailor,seylır
sake,seyk
salad,selıd
salary,selıri
sale,seyl
salmon,semin
saloon,siluun
salt,solt
salute,selüut
same,seym
sample,sempil
sand,send
sandal,sendl
sandpaper,sendpeypir
sandwich,sendvic
sardine,saadin
satellite,setilayt
satin,setin
satisfy,setısfay
saturday,setırdey
sauce,sois
saucepan,soospen
saucer,soosir
sausage,sosip
savage,sevip
save,seyv
savour,seyvir
saw,soo
saxophone,seksifon
say,sey
scale,skeyl
scandal,skendil
scarce,skers
scare,skeir
scarf,skaaf
scene,siin
scheme,skiim
scholarship,skılırşip
school,skuul
science,sayıns
scissors,sizız
scone,skon
score,skoor
scorpion,skorpion
scramble,skrımbıl
scrape,skreyp
scratch,skreç
scream,skriim
screen,skriin
screw,skru
scruff,skraf
sea,sii
seal,siil
search,sörç
seashore,siişor
seaside,sisayd
season,siizn
seat,siit
seat-belt,sit belt
second,sekınd
second-rate,sekınd reyt
secret,sikrıt
secretary,sekrıtri
section,sekşn
secure,seküür
see,sii
see over,siovır
seed,siid
seek,siik
seem,siim
segment,segmınt
seize,siiz
seldom,seldım
select,sılekt
selection,sılekşn
selfish,selfiş
sell,sell
semi,semi
senate,senit
send,send
senior,sinyır
sense,sens
senseless,senslis
sensible,sensibil
sensitive,sensitiv
sentence,sentins
separate,seprit
september,septembir
sergeant,sarcınt
serial,siiriil
serious,siiriis
sermon,sörmin
servant,sörvint
serve,sörv
service,sörvis
serviette,sörviyet
set,set
set off,set of
set out,set aut
set on,set on
settle,setl
settlement,setlmint
several,sevril
severe,siviir
sew,sou
sex,seks
shade,şeyd
shadow,şedou
shake,şeyk
shallow,şelov
shame,şeym
shampoo,şempuu
shape,şeyp
share,şeyr
shark,şark
sharp,şarp
sharp shooter,şarpşutır
shave,şeyv
sheep,şiip
sheet,şiit
shelf,şelf
shell,şel
shelter,şeltır
shield,şiild
shift,şift
shine,şayn
ship,şip
shirt,şört
shock,şak
shoe,şuu
shoelace,şuuleys
shoot,şuut
shoot down,şut daun
shop,şap
shopping,şaping
shore,şoor
short,şort
short cut,şortkat
shortage,sortıp
shortly,şortli
shot,şat
shoulder,şouldır
shout,şaut
show,şou
shower,şauır
shrink,şringk
shut,şat
shut up,şatup
shy,şay
sick,sik
side,sayd
sıdeeffect,saydefekt
sigh,say
sight,sayt
sign,sayn
signal,signil
signature,signıçır
significant,sinifıkınt
signpost,saynpost
silence,saylins
silent,saylint
silk,silk
silly,sili
silo,saylo
simplify,simplifay
sin,sin
since,sins
sincere,sinsiır
sing,sing
single,singl
singular,singulır
sink,sink
sir,sör
siren,saırın
sister,sistir
sit,sit
situation,siçueyşn
size,sayz
skate,skeyt
skateboard,skeytboord
skeleton,skelitin
ski,skii
skill,skil
skim,skim
skin,skin
skirt,skört
skull,skal
sky,skay
slang,sleng
slave,sleyv
sleep,sliip
sleepy,sliipi
sleeve,sliiv
sleeveless,sliivlıs
slice,slays
slide,slayd
slight,slayt
slim,slim
slip,slip
slipper,slipır
slope,sloup
slot,slot
slow,slou
small,smol
smart,smart
smash,smeş
smell,smel
smile,smayl
smoke,smouk
smooth,smuuth
smuggle,smagıl
snack,snek
snag,sneg
snail,sneyl
snake,sneyk
sneeze,sniiz
sniff,snif
snore,snoor
snow,snou
snub,snab
so,sou
so far,so far
soak,sok
soap,soup
soccer,sokır
social,soşıl
society,sısayıti
sock,sak
socket,sakıt
sofa,soufı
soft,soft
soil,soil
soldier,soulcır
solemn,salım
solid,solid
solidarity,soliderıti
solve,solv
some,sam
somebody,sambadi
someone,samvan
sometimes,samtaymz
somewhere,samveir
son,san
song,song
soon,suun
sophisticated,sofistikeyt
sore,soor
sorrow,sarou
sorry,sori
sort,sort
soul,soul
sound,saund
soup,suup
sour,sauir
source,soors
south,sauth
souvenir,suuvenır
sow,sou
space,speys
spade,speyd
span,spen
spanner,spenir
adjustable spanner,adcastıbl spenir
spare,speyr
speak,spiik
special,speşl
spectacular,spektıkulır
spectator,spekteytır
speech,spiiç
speed,spiid
speedometer,spidamıtır
spell,spel
spend,spend
spice,spays
spider,spaydır
spill,spil
spiral,spiral
spirit,spirit
spit,spit
spite,spayt
splash,splaş
splendid,splendid
split,split
spoil,spoil
spoon,spuun
sport,sport
spot,spat
spread,spred
spring,spring
spy,spay
square,skueir
squash,skvaş
squeeze,skviiz
stabilize,stebilayz
stable,sıteybıl
stadium,stedyum
staff,staaf
stage,steyc
stain,steyn
stair,steyr
stall,stool
stamp,stemp
stand,stend
stand in,stend in
standard,standird
stapler,steipılr
star,star
stare,steyr
start,start
state,steyt
station,steyşn
stationery,steyşınery
statue,statüü
stay,stey
steady,stedi
steak,steyk
steal,stiil
steam,stiim
steel,stiil
steep,stiip
steer,stiir
step,step
step child,step payld
sterile,sterayl
sterilize,sterilayz
stethoscope,stethiskop
steward,stüvid
stick,stik
stiff,stif
still,stil
stir,stör
stock,stok
stock certificate,stok sertifikeyt
stocking,stoking
stomach,stomak
stone,stoun
stool,stuul
stop,stap
store,stoor
storm,stoom
story,stori
stove,stouv
straight,streyt
strain,streyn
strainer,streynir
strange,streync
strap,strep
straw,strov
strawberry,strovbri
stream,striim
street,striit
strength,strength
stress,stres
stretch,streç
stretcher,strepir
strict,strikt
strike,strayk
string,string
strip,strip
stripe,strayp
stroke,strouk
strong,strong
structure,strakçır
struggle,stragl
student,studınt
studio,stüudio
study,stadi
stuff,staf
stupid,stüupid
stutter,statir
style,stayl
subject,sabcıkt
submarine,sabmıriin
submit,sibmit
subscribe,sebskrayb
subsidize,sabsidayz
subsidy,sabsidiy
substance,sabstıns
substitute,sabstitüvt
subtract,sabtrekt
suburb,sabörb
subway,sabvey
succeed,sıksiid
success,sıkses
succession,sıkseşn
such,saç
suck,sak
sudden,sadn
suffer,safir
sufficient,sefişınt
sugar,şugır
suggest,sıcest
suggestion,sıcesşn
suicide,suisayd
suit,suut
suitcase,suitkeys
sum,sam
summary,samiri
summer,samır
summit,samit
sun,san
sunday,sandey
sunset,sanset
sunshine,sanşayn
suntan,santen
super,suupır
superb,supörb
superior,süperiyır
superstition,supıstişn
supervise,süpervayz
supper,sapır
supplies,sıplayz
supply,sıplay
support,sıport
suppose,sıpouz
suppress,sıpres
supreme,süupriim
sure,şuır
surface,sörfıs
surgeon,söcın
surgery,söcırı
surname,sörneym
surprise,sıprayz
surrender,sırendır
surround,sıraund
suspect,sıspekt
suspend,sıspend
suspension,sıspenşın
suspicion,sıspışın
swallow,svalou
swan,svan
swear,sveır
sweat,svet
sweater,svetır
sweep,sviip
sweet,sviit
swell,svel
swim,svim
swing,sving
switch,sviç
swollen,svolın
sword,sood
symbol,simbl
syrup,sırıp
system,sistim
t raffic,trefik
table,teybl
tablet,teblit
taboo,tabuu
tail,teyl
tailor,teylir
take,teyk
talent,telınt
talk,tolk
talkative,tolkıtiv
tall,tool
tame,teym
tan,ten
tangerine,tengerin
tank,tenk
tap,tep
tape,teyp
tapemeasure,teip-mejır
target,tergıt
tariff,terif
tart,tart
task,task
taste,teyst
tax,teks
taxi,teksi
tea,tii
teach,tiiç
teacher,tiiçır
team,tiim
tear,tiır
tease,tiiz
technique,teknik
teenager,tiinepır
telegram,telıgrem
telephone,telıfoun
telescope,telıskoup
television,telıvijn
tell,tel
temper,tempır
temperature,temprıçır
temple,tempıl
temporary,temprıri
tempt,tempt
tenant,tenınt
tend,tend
tender,tendir
tent,tent
term,törm
terminal,termınıl
terrace,terıs
terrible,terıbl
terrific,tırifik
terrify,terifay
territory,teritri
terror,terır
test,test
than,den
thank,thenk
that,det
theatre,thiıtır
their,theır
them,them
theme,thiim
then,then
theory,thiori
there,theer
therefore,deırfoor
thermometer,themomitır
these,diiz
they,dey
thick,thik
thief,thiif
thin,thin
thing,thing
think,think
third,thöd
thirsty,thörsti
thirteenth,thötiith
thirtieth,thötith
this,dis
thorough,tharou
thoroughly,thruili
those,douz
though,dou
thought,thoot
thoughtful,thootful
thoughtless,thootlıs
thread,thred
threat,thret
threaten,thretın
throat,throut
through,thruu
throw,throu
thumb,tham
thunder,thandır
thunderstorm,thandıstorm
thursday,thözdey
thus,das
tick,tik
ticket,tikıt
tide,tayd
tidy,taydi
tie,tay
tiger,taygır
tight,tayt
till,til
time,taym
tin,tin
tiny,tayni
tip,tip
tire,tayır
tired,tayırd
tissue,tişuu
title,taytl
toast,toust
tobacco,tıbakou
today,tıdey
toe,tou
together,tıgedır
toilet,toilıt
token,tokın
tomato,tımaato
tomorrow,tımarou
ton,tan
tone,ton
tongue,tang
tonight,tınayt
too,tuu
tool,tuul
tooth,tuuth
tooth pick,tuuth pik
top,tap
topic,tapik
torch,torp
torpedo,torpiido
tortoise,tootıs
torture,torçır
total,toutıl
totally,toutıli
touch,taç
tough,taf
tour,tuır
tournament,tu rnımınt
towards,tıvordz
towel,tauıl
tower,tauır
town,taun
toy,toy
trace,treys
track,trek
trade,treyd
tradition,tredişin
tragedy,trejedi
train,treyn
training,treyning
transfer,trensför
transform,trensform
translate,trenzleyt
transparent,tresperint
transport,trensport
trap,trep
travel,trevi
tray,trey
treasure,trejır
treat,triit
treatment,triitmınt
tree,trii
tremendous,trimendıs
trial,trayıl
trialbalance,trayılbalans
tribe,trayb
trick,trik
trigger,trigır
trip,trip
tripod,traypod
triumph,trayamf
troop,trup
troops,trups
trouble,trabl
trousers,trauzız
truck,trak
true,truu
trunk,trang
trust,trast
truth,truth
try,tray
tu rban,töbın
turnkey,törnkiy
tube,tüub
tuesday,tüuzdey
tuition,tuuşın
tulip,tüulıp
tummy,tami
tune,tüun
tunnel,tanl
turkey,törki
turn,törn
ıt's your turn,its yuu tön
turnover,törnovır
twice,tvays
twist,tvist
type,tayp
typical,tipikıl
typist,taypist
tyre,tayr
ufo,yufo
ugly,agli
umbrella,ambrela
unable,aneybl
uncle,ankl
unconscious,ankanşıs
under,andır
underclothes,andıkloudz
undergo,andırgo
underline,andırlayn
understand,andıstend
unemployme nt,animploymı nt
unfair,anfeyır
unfavourable,anfeyvırıbl
unhappy,anhepi
unhealthy,anhelthi
uniform,yuniform
union,yunyın
unit,yunıt
unite,yunayt
university,yunivörsıti
unknown,announ
unless,anles
unlikely,anlaykli
unload,anloud
unlock,anlok
until,antil
up,ap
up to you,ap tu yu
upon,ıpon
upper,apır
upset,apset
upsidedown,apsayd dovn
upstairs,apsteız
up-to-date,ap tı deyt
upward,apvıd
urban,ööbın
urge,ööc
urgent,ööcınt
us,as
use,yuus
useful,yuusfl
usual,yujl
v.i.p.,viaypi
vacant,veykınt
vacation,vekeyşın
vacuum cleaner,vakuum klinır
vain,veyn
valley,veli
valuable,velyubl
value,velyu
van,ven
vanilla,venilı
vaporize,veipırayz
variety,verayıti
various,veırıis
vase,vaaz
vegetable,vectıbl
vehicle,viikıl
veil,veil
vein,veyn
velvet,velvıt
venture,vençır
verb,vörb
verdict,vördikt
vertical,vörtıkıl
very,veri
vest,vest
vet,vet
veto,viitou
via,vaı
viable,vaıbıl
vice,vays
vicious circle,vişıs sörkıl
victim,viktım
victimize,viktımayz
victor,viktır
victory,viktri
view,viu
villa,vilı
village,vilıc
vine,vayn
vinegar,vinıgır
violent,vaylınt
violin,vaılın
visa,viizı
visible,vizıbl
vision,vijn
visit,vizit
visitor,vizitır
vital,vaytıl
vocabulary,vıkebyulıri
voice,vois
volcano,volkeno
volleyball,volıbol
volume,volyum
voluntary,volıntri
vomit,vamit
vote,vout
vowel,vavıl
voyage,voyıc
vulgar,valgir
vulnerable,valnıbıl
vulture,valçır
wage,veyc
wager,vacır
wagon,vegın
waist,veyst
waistcoat,veystkot
wait,veit
waiter,veytir
wake,veyk
walk,volk
wall,vool
wallet,valıt
walnut,volnat
wander,vandir
want,vont
war,vor
warder,voodır
wardrobe,vordroop
ware,veyır
warehouse,veyrhaus
warm,vorm
warn,vorn
warrant,varınt
wash,voş
wasp,vasp
waste,veyst
watch,voç
water,votir
water- colours,votır kolırs
water proof,votır pruf
waterfall,votirfol
wave,veyv
way,vey
we,vi
weak,viik
wealth,velth
weapon,vepin
wear,veir
weather,vedir
wednesday,venzdey
week,viik
weigh,veit
welcome,velkam
well,vel
well-known,vel noun
west,vest
wet,vet
whale,veyl
what,vat
what if,vat if
whatever,vatevir
what's its,vats its
what's more,vats mor
what's what,vats vat
wheel,viil
when,ven
whenever,venevır
where,veir
while,vayl
whim,vhim
whip,vip
whisper,vispır
whistle,visl
white,vayt
who,hu
whoever,huevır
whole,houl
wholesales,houlseıl
whose,huuz
why,vay
wide,vayd
widow,vidou
wife,vayf
wig,vig
wild,vayd
will,vil
win,vin
wind,vaynd
wind screen,vind skriin
window,vindou
windpipe,vindpayp
windscreen wiper,vindskriin vay
wine,vayn
wing,ving
winter,vintir
wipe,vayp
wire,vayir
wireless,vayilis
wisdom,vizdım
wise,vayz
wish,viş
witch,vip
with,vith
withdraw,vithdro
within,vidin
without,vidaut
witness,vitnis
wolf,vulf
woman,vumin
wonder,vandir
wonderful,vandifl
wood,vuud
wool,vuul
word,vööd
work,vörk
worker,vörkir
world,vörld
worm,vörm
worry,vöri
worse,vörs
worship,vörşip
worst,vörst
worth,vörth
wound,vuund
wrap,rep
wreck,rek
wrist,rist
write,rayt
wrong,rong
x-ray,eks rey
yacht,yat
yard,yard
year,yiir
yellow,yelou
yes,yes
yesterday,yestidey
yet,yet
yield,yiild
yoghurt,yogit
yolk,youk
young,yang
your,yoor
youth,yuuth
zero,zirou
zip,zip
zone,zon
zoom,zum
